# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity hidden --env hallway --episodes 1500 --seed 4 --out results/hallway_qmix_correlated_hidden_s4.npz --save-every 100 --parameter-sharing
[corr/qmix/hidden/s4] ep=100/1500  eps=0.94  recent_success=0.42  buf=42/1197 (3.51%)  elapsed=4s
[corr/qmix/hidden/s4] ep=200/1500  eps=0.88  recent_success=0.49  buf=91/2265 (4.02%)  elapsed=8s
[corr/qmix/hidden/s4] ep=300/1500  eps=0.83  recent_success=0.66  buf=157/3225 (4.87%)  elapsed=13s
[corr/qmix/hidden/s4] ep=400/1500  eps=0.77  recent_success=0.71  buf=228/4071 (5.60%)  elapsed=17s
[corr/qmix/hidden/s4] ep=500/1500  eps=0.71  recent_success=0.85  buf=313/4781 (6.55%)  elapsed=20s
[corr/qmix/hidden/s4] ep=600/1500  eps=0.65  recent_success=0.86  buf=399/5527 (7.22%)  elapsed=24s
[corr/qmix/hidden/s4] ep=700/1500  eps=0.59  recent_success=0.93  buf=492/6117 (8.04%)  elapsed=27s
[corr/qmix/hidden/s4] ep=800/1500  eps=0.53  recent_success=0.96  buf=588/6654 (8.84%)  elapsed=29s
[corr/qmix/hidden/s4] ep=900/1500  eps=0.48  recent_success=1.00  buf=688/7105 (9.68%)  elapsed=31s
[corr/qmix/hidden/s4] ep=1000/1500  eps=0.42  recent_success=1.00  buf=788/7494 (10.52%)  elapsed=33s
[corr/qmix/hidden/s4] ep=1100/1500  eps=0.36  recent_success=1.00  buf=888/7864 (11.29%)  elapsed=35s
[corr/qmix/hidden/s4] ep=1200/1500  eps=0.30  recent_success=0.84  buf=972/8615 (11.28%)  elapsed=38s
[corr/qmix/hidden/s4] ep=1300/1500  eps=0.30  recent_success=0.79  buf=1051/9460 (11.11%)  elapsed=41s
[corr/qmix/hidden/s4] ep=1400/1500  eps=0.30  recent_success=0.93  buf=1144/9939 (11.51%)  elapsed=42s
[corr/qmix/hidden/s4] ep=1500/1500  eps=0.30  recent_success=0.53  buf=1197/10997 (10.88%)  elapsed=45s
DONE -> results/hallway_qmix_correlated_hidden_s4.npz
