# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity q_values --env lbf --episodes 3000 --seed 0 --out results/lbf_qmix_correlated_q_values_s0.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/q_values/s0] ep=100/3000  eps=0.97  recent_success=0.11  buf=11/4739 (0.23%)  elapsed=26s
[corr/qmix/q_values/s0] ep=200/3000  eps=0.94  recent_success=0.16  buf=27/9278 (0.29%)  elapsed=59s
[corr/qmix/q_values/s0] ep=300/3000  eps=0.91  recent_success=0.08  buf=35/14080 (0.25%)  elapsed=94s
[corr/qmix/q_values/s0] ep=400/3000  eps=0.88  recent_success=0.06  buf=41/18944 (0.22%)  elapsed=129s
[corr/qmix/q_values/s0] ep=500/3000  eps=0.85  recent_success=0.05  buf=46/23804 (0.19%)  elapsed=165s
[corr/qmix/q_values/s0] ep=600/3000  eps=0.83  recent_success=0.05  buf=51/28631 (0.18%)  elapsed=202s
[corr/qmix/q_values/s0] ep=700/3000  eps=0.80  recent_success=0.05  buf=56/33561 (0.17%)  elapsed=239s
[corr/qmix/q_values/s0] ep=800/3000  eps=0.77  recent_success=0.06  buf=62/38395 (0.16%)  elapsed=276s
[corr/qmix/q_values/s0] ep=900/3000  eps=0.74  recent_success=0.06  buf=68/43240 (0.16%)  elapsed=312s
[corr/qmix/q_values/s0] ep=1000/3000  eps=0.71  recent_success=0.02  buf=70/48191 (0.15%)  elapsed=350s
[corr/qmix/q_values/s0] ep=1100/3000  eps=0.68  recent_success=0.04  buf=74/50000 (0.15%)  elapsed=387s
[corr/qmix/q_values/s0] ep=1200/3000  eps=0.65  recent_success=0.00  buf=74/50000 (0.15%)  elapsed=425s
[corr/qmix/q_values/s0] ep=1300/3000  eps=0.62  recent_success=0.00  buf=74/50000 (0.15%)  elapsed=463s
[corr/qmix/q_values/s0] ep=1400/3000  eps=0.59  recent_success=0.01  buf=75/50000 (0.15%)  elapsed=500s
[corr/qmix/q_values/s0] ep=1500/3000  eps=0.56  recent_success=0.00  buf=75/50000 (0.15%)  elapsed=536s
[corr/qmix/q_values/s0] ep=1600/3000  eps=0.53  recent_success=0.00  buf=75/50000 (0.15%)  elapsed=574s
[corr/qmix/q_values/s0] ep=1700/3000  eps=0.50  recent_success=0.00  buf=75/50000 (0.15%)  elapsed=612s
[corr/qmix/q_values/s0] ep=1800/3000  eps=0.48  recent_success=0.03  buf=78/50000 (0.16%)  elapsed=649s
[corr/qmix/q_values/s0] ep=1900/3000  eps=0.45  recent_success=0.05  buf=83/50000 (0.17%)  elapsed=685s
[corr/qmix/q_values/s0] ep=2000/3000  eps=0.42  recent_success=0.02  buf=85/50000 (0.17%)  elapsed=722s
[corr/qmix/q_values/s0] ep=2100/3000  eps=0.39  recent_success=0.00  buf=85/50000 (0.17%)  elapsed=760s
[corr/qmix/q_values/s0] ep=2200/3000  eps=0.36  recent_success=0.01  buf=86/50000 (0.17%)  elapsed=796s
[corr/qmix/q_values/s0] ep=2300/3000  eps=0.33  recent_success=0.01  buf=87/50000 (0.17%)  elapsed=833s
[corr/qmix/q_values/s0] ep=2400/3000  eps=0.30  recent_success=0.01  buf=88/50000 (0.18%)  elapsed=870s
[corr/qmix/q_values/s0] ep=2500/3000  eps=0.30  recent_success=0.00  buf=88/50000 (0.18%)  elapsed=907s
[corr/qmix/q_values/s0] ep=2600/3000  eps=0.30  recent_success=0.00  buf=88/50000 (0.18%)  elapsed=944s
[corr/qmix/q_values/s0] ep=2700/3000  eps=0.30  recent_success=0.01  buf=89/50000 (0.18%)  elapsed=980s
[corr/qmix/q_values/s0] ep=2800/3000  eps=0.30  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=1016s
[corr/qmix/q_values/s0] ep=2900/3000  eps=0.30  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=1052s
[corr/qmix/q_values/s0] ep=3000/3000  eps=0.30  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=1089s
DONE -> results/lbf_qmix_correlated_q_values_s0.npz
