# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity hidden --env lbf --episodes 3000 --seed 0 --out results/lbf_qmix_correlated_hidden_s0.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/hidden/s0] ep=100/3000  eps=0.97  recent_success=0.11  buf=11/4805 (0.23%)  elapsed=27s
[corr/qmix/hidden/s0] ep=200/3000  eps=0.94  recent_success=0.08  buf=19/9538 (0.20%)  elapsed=62s
[corr/qmix/hidden/s0] ep=300/3000  eps=0.91  recent_success=0.12  buf=31/14199 (0.22%)  elapsed=96s
[corr/qmix/hidden/s0] ep=400/3000  eps=0.88  recent_success=0.03  buf=34/19090 (0.18%)  elapsed=131s
[corr/qmix/hidden/s0] ep=500/3000  eps=0.85  recent_success=0.06  buf=40/23955 (0.17%)  elapsed=168s
[corr/qmix/hidden/s0] ep=600/3000  eps=0.83  recent_success=0.09  buf=49/28696 (0.17%)  elapsed=203s
[corr/qmix/hidden/s0] ep=700/3000  eps=0.80  recent_success=0.06  buf=55/33455 (0.16%)  elapsed=239s
[corr/qmix/hidden/s0] ep=800/3000  eps=0.77  recent_success=0.04  buf=59/38287 (0.15%)  elapsed=275s
[corr/qmix/hidden/s0] ep=900/3000  eps=0.74  recent_success=0.05  buf=64/43194 (0.15%)  elapsed=312s
[corr/qmix/hidden/s0] ep=1000/3000  eps=0.71  recent_success=0.03  buf=67/48151 (0.14%)  elapsed=350s
[corr/qmix/hidden/s0] ep=1100/3000  eps=0.68  recent_success=0.01  buf=68/50000 (0.14%)  elapsed=387s
[corr/qmix/hidden/s0] ep=1200/3000  eps=0.65  recent_success=0.07  buf=75/50000 (0.15%)  elapsed=424s
[corr/qmix/hidden/s0] ep=1300/3000  eps=0.62  recent_success=0.02  buf=77/50000 (0.15%)  elapsed=460s
[corr/qmix/hidden/s0] ep=1400/3000  eps=0.59  recent_success=0.02  buf=79/50000 (0.16%)  elapsed=497s
[corr/qmix/hidden/s0] ep=1500/3000  eps=0.56  recent_success=0.02  buf=81/50000 (0.16%)  elapsed=532s
[corr/qmix/hidden/s0] ep=1600/3000  eps=0.53  recent_success=0.01  buf=82/50000 (0.16%)  elapsed=570s
[corr/qmix/hidden/s0] ep=1700/3000  eps=0.50  recent_success=0.02  buf=84/50000 (0.17%)  elapsed=606s
[corr/qmix/hidden/s0] ep=1800/3000  eps=0.48  recent_success=0.05  buf=89/50000 (0.18%)  elapsed=642s
[corr/qmix/hidden/s0] ep=1900/3000  eps=0.45  recent_success=0.04  buf=93/50000 (0.19%)  elapsed=679s
[corr/qmix/hidden/s0] ep=2000/3000  eps=0.42  recent_success=0.03  buf=96/50000 (0.19%)  elapsed=715s
[corr/qmix/hidden/s0] ep=2100/3000  eps=0.39  recent_success=0.02  buf=98/50000 (0.20%)  elapsed=751s
[corr/qmix/hidden/s0] ep=2200/3000  eps=0.36  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=787s
[corr/qmix/hidden/s0] ep=2300/3000  eps=0.33  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=824s
[corr/qmix/hidden/s0] ep=2400/3000  eps=0.30  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=861s
[corr/qmix/hidden/s0] ep=2500/3000  eps=0.30  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=898s
[corr/qmix/hidden/s0] ep=2600/3000  eps=0.30  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=933s
[corr/qmix/hidden/s0] ep=2700/3000  eps=0.30  recent_success=0.00  buf=98/50000 (0.20%)  elapsed=970s
[corr/qmix/hidden/s0] ep=2800/3000  eps=0.30  recent_success=0.01  buf=99/50000 (0.20%)  elapsed=1004s
[corr/qmix/hidden/s0] ep=2900/3000  eps=0.30  recent_success=0.01  buf=100/50000 (0.20%)  elapsed=1041s
[corr/qmix/hidden/s0] ep=3000/3000  eps=0.30  recent_success=0.01  buf=101/50000 (0.20%)  elapsed=1077s
DONE -> results/lbf_qmix_correlated_hidden_s0.npz
