# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity obs --env hallway --episodes 1500 --seed 2 --out results/hallway_qmix_correlated_obs_s2.npz --save-every 100 --parameter-sharing
[corr/qmix/obs/s2] ep=100/1500  eps=0.94  recent_success=0.60  buf=60/1009 (5.95%)  elapsed=3s
[corr/qmix/obs/s2] ep=200/1500  eps=0.88  recent_success=0.45  buf=105/2193 (4.79%)  elapsed=8s
[corr/qmix/obs/s2] ep=300/1500  eps=0.83  recent_success=0.36  buf=141/3442 (4.10%)  elapsed=16s
[corr/qmix/obs/s2] ep=400/1500  eps=0.77  recent_success=0.21  buf=162/4855 (3.34%)  elapsed=25s
[corr/qmix/obs/s2] ep=500/1500  eps=0.71  recent_success=0.14  buf=176/6322 (2.78%)  elapsed=35s
[corr/qmix/obs/s2] ep=600/1500  eps=0.65  recent_success=0.10  buf=186/7819 (2.38%)  elapsed=44s
[corr/qmix/obs/s2] ep=700/1500  eps=0.59  recent_success=0.12  buf=198/9323 (2.12%)  elapsed=54s
[corr/qmix/obs/s2] ep=800/1500  eps=0.53  recent_success=0.07  buf=205/10869 (1.89%)  elapsed=65s
[corr/qmix/obs/s2] ep=900/1500  eps=0.48  recent_success=0.17  buf=222/12344 (1.80%)  elapsed=75s
[corr/qmix/obs/s2] ep=1000/1500  eps=0.42  recent_success=0.25  buf=247/13700 (1.80%)  elapsed=84s
[corr/qmix/obs/s2] ep=1100/1500  eps=0.36  recent_success=0.24  buf=271/15116 (1.79%)  elapsed=94s
[corr/qmix/obs/s2] ep=1200/1500  eps=0.30  recent_success=0.14  buf=285/16609 (1.72%)  elapsed=104s
[corr/qmix/obs/s2] ep=1300/1500  eps=0.30  recent_success=0.17  buf=302/18081 (1.67%)  elapsed=114s
[corr/qmix/obs/s2] ep=1400/1500  eps=0.30  recent_success=0.35  buf=337/19416 (1.74%)  elapsed=122s
[corr/qmix/obs/s2] ep=1500/1500  eps=0.30  recent_success=0.33  buf=370/20775 (1.78%)  elapsed=132s
DONE -> results/hallway_qmix_correlated_obs_s2.npz
