# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity obs --env hallway --episodes 1500 --seed 3 --out results/hallway_qmix_correlated_obs_s3.npz --save-every 100 --parameter-sharing
[corr/qmix/obs/s3] ep=100/1500  eps=0.94  recent_success=0.51  buf=51/1097 (4.65%)  elapsed=4s
[corr/qmix/obs/s3] ep=200/1500  eps=0.88  recent_success=0.63  buf=114/2111 (5.40%)  elapsed=7s
[corr/qmix/obs/s3] ep=300/1500  eps=0.83  recent_success=0.49  buf=163/3236 (5.04%)  elapsed=15s
[corr/qmix/obs/s3] ep=400/1500  eps=0.77  recent_success=0.45  buf=208/4397 (4.73%)  elapsed=23s
[corr/qmix/obs/s3] ep=500/1500  eps=0.71  recent_success=0.73  buf=281/5235 (5.37%)  elapsed=29s
[corr/qmix/obs/s3] ep=600/1500  eps=0.65  recent_success=0.70  buf=351/6063 (5.79%)  elapsed=35s
[corr/qmix/obs/s3] ep=700/1500  eps=0.59  recent_success=0.83  buf=434/6710 (6.47%)  elapsed=39s
[corr/qmix/obs/s3] ep=800/1500  eps=0.53  recent_success=0.94  buf=528/7242 (7.29%)  elapsed=43s
[corr/qmix/obs/s3] ep=900/1500  eps=0.48  recent_success=0.97  buf=625/7685 (8.13%)  elapsed=46s
[corr/qmix/obs/s3] ep=1000/1500  eps=0.42  recent_success=0.98  buf=723/8075 (8.95%)  elapsed=48s
[corr/qmix/obs/s3] ep=1100/1500  eps=0.36  recent_success=0.91  buf=814/8704 (9.35%)  elapsed=53s
[corr/qmix/obs/s3] ep=1200/1500  eps=0.30  recent_success=0.90  buf=904/9250 (9.77%)  elapsed=56s
[corr/qmix/obs/s3] ep=1300/1500  eps=0.30  recent_success=0.88  buf=992/9891 (10.03%)  elapsed=61s
[corr/qmix/obs/s3] ep=1400/1500  eps=0.30  recent_success=0.72  buf=1064/10836 (9.82%)  elapsed=67s
[corr/qmix/obs/s3] ep=1500/1500  eps=0.30  recent_success=0.80  buf=1144/11595 (9.87%)  elapsed=73s
DONE -> results/hallway_qmix_correlated_obs_s3.npz
