# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity obs --env lbf --episodes 3000 --seed 0 --out results/lbf_qmix_correlated_obs_s0.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/obs/s0] ep=100/3000  eps=0.97  recent_success=0.11  buf=11/4679 (0.24%)  elapsed=26s
[corr/qmix/obs/s0] ep=200/3000  eps=0.94  recent_success=0.10  buf=21/9371 (0.22%)  elapsed=59s
[corr/qmix/obs/s0] ep=300/3000  eps=0.91  recent_success=0.07  buf=28/14177 (0.20%)  elapsed=93s
[corr/qmix/obs/s0] ep=400/3000  eps=0.88  recent_success=0.07  buf=35/19119 (0.18%)  elapsed=129s
[corr/qmix/obs/s0] ep=500/3000  eps=0.85  recent_success=0.05  buf=40/23977 (0.17%)  elapsed=164s
[corr/qmix/obs/s0] ep=600/3000  eps=0.83  recent_success=0.04  buf=44/28825 (0.15%)  elapsed=199s
[corr/qmix/obs/s0] ep=700/3000  eps=0.80  recent_success=0.08  buf=52/33608 (0.15%)  elapsed=234s
[corr/qmix/obs/s0] ep=800/3000  eps=0.77  recent_success=0.03  buf=55/38520 (0.14%)  elapsed=272s
[corr/qmix/obs/s0] ep=900/3000  eps=0.74  recent_success=0.02  buf=57/43470 (0.13%)  elapsed=308s
[corr/qmix/obs/s0] ep=1000/3000  eps=0.71  recent_success=0.03  buf=60/48342 (0.12%)  elapsed=343s
[corr/qmix/obs/s0] ep=1100/3000  eps=0.68  recent_success=0.06  buf=66/50000 (0.13%)  elapsed=378s
[corr/qmix/obs/s0] ep=1200/3000  eps=0.65  recent_success=0.02  buf=68/50000 (0.14%)  elapsed=414s
[corr/qmix/obs/s0] ep=1300/3000  eps=0.62  recent_success=0.03  buf=71/50000 (0.14%)  elapsed=450s
[corr/qmix/obs/s0] ep=1400/3000  eps=0.59  recent_success=0.02  buf=73/50000 (0.15%)  elapsed=485s
[corr/qmix/obs/s0] ep=1500/3000  eps=0.56  recent_success=0.01  buf=74/50000 (0.15%)  elapsed=521s
[corr/qmix/obs/s0] ep=1600/3000  eps=0.53  recent_success=0.02  buf=76/50000 (0.15%)  elapsed=557s
[corr/qmix/obs/s0] ep=1700/3000  eps=0.50  recent_success=0.00  buf=76/50000 (0.15%)  elapsed=593s
[corr/qmix/obs/s0] ep=1800/3000  eps=0.48  recent_success=0.04  buf=80/50000 (0.16%)  elapsed=629s
[corr/qmix/obs/s0] ep=1900/3000  eps=0.45  recent_success=0.01  buf=81/50000 (0.16%)  elapsed=665s
[corr/qmix/obs/s0] ep=2000/3000  eps=0.42  recent_success=0.04  buf=85/50000 (0.17%)  elapsed=699s
[corr/qmix/obs/s0] ep=2100/3000  eps=0.39  recent_success=0.01  buf=86/50000 (0.17%)  elapsed=735s
[corr/qmix/obs/s0] ep=2200/3000  eps=0.36  recent_success=0.00  buf=86/50000 (0.17%)  elapsed=771s
[corr/qmix/obs/s0] ep=2300/3000  eps=0.33  recent_success=0.01  buf=87/50000 (0.17%)  elapsed=807s
[corr/qmix/obs/s0] ep=2400/3000  eps=0.30  recent_success=0.01  buf=88/50000 (0.18%)  elapsed=843s
[corr/qmix/obs/s0] ep=2500/3000  eps=0.30  recent_success=0.00  buf=88/50000 (0.18%)  elapsed=878s
[corr/qmix/obs/s0] ep=2600/3000  eps=0.30  recent_success=0.01  buf=89/50000 (0.18%)  elapsed=914s
[corr/qmix/obs/s0] ep=2700/3000  eps=0.30  recent_success=0.04  buf=93/50000 (0.19%)  elapsed=949s
[corr/qmix/obs/s0] ep=2800/3000  eps=0.30  recent_success=0.00  buf=93/50000 (0.19%)  elapsed=986s
[corr/qmix/obs/s0] ep=2900/3000  eps=0.30  recent_success=0.00  buf=93/50000 (0.19%)  elapsed=1022s
[corr/qmix/obs/s0] ep=3000/3000  eps=0.30  recent_success=0.02  buf=95/50000 (0.19%)  elapsed=1057s
DONE -> results/lbf_qmix_correlated_obs_s0.npz
