# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity obs --env lbf --episodes 3000 --seed 2 --out results/lbf_qmix_correlated_obs_s2.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/obs/s2] ep=100/3000  eps=0.97  recent_success=0.15  buf=15/4655 (0.32%)  elapsed=27s
[corr/qmix/obs/s2] ep=200/3000  eps=0.94  recent_success=0.11  buf=26/9288 (0.28%)  elapsed=62s
[corr/qmix/obs/s2] ep=300/3000  eps=0.91  recent_success=0.07  buf=33/14070 (0.23%)  elapsed=97s
[corr/qmix/obs/s2] ep=400/3000  eps=0.88  recent_success=0.09  buf=42/18906 (0.22%)  elapsed=134s
[corr/qmix/obs/s2] ep=500/3000  eps=0.85  recent_success=0.10  buf=52/23616 (0.22%)  elapsed=168s
[corr/qmix/obs/s2] ep=600/3000  eps=0.83  recent_success=0.09  buf=61/28384 (0.21%)  elapsed=204s
[corr/qmix/obs/s2] ep=700/3000  eps=0.80  recent_success=0.07  buf=68/33184 (0.20%)  elapsed=240s
[corr/qmix/obs/s2] ep=800/3000  eps=0.77  recent_success=0.06  buf=74/38079 (0.19%)  elapsed=277s
[corr/qmix/obs/s2] ep=900/3000  eps=0.74  recent_success=0.02  buf=76/43002 (0.18%)  elapsed=314s
[corr/qmix/obs/s2] ep=1000/3000  eps=0.71  recent_success=0.04  buf=80/47912 (0.17%)  elapsed=351s
[corr/qmix/obs/s2] ep=1100/3000  eps=0.68  recent_success=0.04  buf=84/50000 (0.17%)  elapsed=388s
[corr/qmix/obs/s2] ep=1200/3000  eps=0.65  recent_success=0.04  buf=88/50000 (0.18%)  elapsed=425s
[corr/qmix/obs/s2] ep=1300/3000  eps=0.62  recent_success=0.02  buf=90/50000 (0.18%)  elapsed=463s
[corr/qmix/obs/s2] ep=1400/3000  eps=0.59  recent_success=0.03  buf=93/50000 (0.19%)  elapsed=501s
[corr/qmix/obs/s2] ep=1500/3000  eps=0.56  recent_success=0.07  buf=100/50000 (0.20%)  elapsed=537s
[corr/qmix/obs/s2] ep=1600/3000  eps=0.53  recent_success=0.04  buf=104/50000 (0.21%)  elapsed=574s
[corr/qmix/obs/s2] ep=1700/3000  eps=0.50  recent_success=0.01  buf=105/50000 (0.21%)  elapsed=611s
[corr/qmix/obs/s2] ep=1800/3000  eps=0.48  recent_success=0.01  buf=106/50000 (0.21%)  elapsed=648s
[corr/qmix/obs/s2] ep=1900/3000  eps=0.45  recent_success=0.02  buf=108/50000 (0.22%)  elapsed=686s
[corr/qmix/obs/s2] ep=2000/3000  eps=0.42  recent_success=0.01  buf=109/50000 (0.22%)  elapsed=723s
[corr/qmix/obs/s2] ep=2100/3000  eps=0.39  recent_success=0.01  buf=110/50000 (0.22%)  elapsed=760s
[corr/qmix/obs/s2] ep=2200/3000  eps=0.36  recent_success=0.02  buf=112/50000 (0.22%)  elapsed=797s
[corr/qmix/obs/s2] ep=2300/3000  eps=0.33  recent_success=0.00  buf=112/50000 (0.22%)  elapsed=834s
[corr/qmix/obs/s2] ep=2400/3000  eps=0.30  recent_success=0.01  buf=113/50000 (0.23%)  elapsed=870s
[corr/qmix/obs/s2] ep=2500/3000  eps=0.30  recent_success=0.00  buf=113/50000 (0.23%)  elapsed=908s
[corr/qmix/obs/s2] ep=2600/3000  eps=0.30  recent_success=0.00  buf=113/50000 (0.23%)  elapsed=945s
[corr/qmix/obs/s2] ep=2700/3000  eps=0.30  recent_success=0.00  buf=113/50000 (0.23%)  elapsed=982s
[corr/qmix/obs/s2] ep=2800/3000  eps=0.30  recent_success=0.00  buf=113/50000 (0.23%)  elapsed=1018s
[corr/qmix/obs/s2] ep=2900/3000  eps=0.30  recent_success=0.02  buf=115/50000 (0.23%)  elapsed=1055s
[corr/qmix/obs/s2] ep=3000/3000  eps=0.30  recent_success=0.02  buf=117/50000 (0.23%)  elapsed=1091s
DONE -> results/lbf_qmix_correlated_obs_s2.npz
