# /home/jwozniak/MARL/.venv/bin/python3 long_run.py --exploration correlated --mixer qmix --similarity hidden --env lbf --episodes 3000 --seed 2 --out results/lbf_qmix_correlated_hidden_s2.npz --save-every 100 --parameter-sharing --balanced-buffer
/home/jwozniak/MARL/.venv/lib/python3.12/site-packages/gymnasium/utils/passive_env_checker.py:244: UserWarning: [33mWARN: The reward returned by `step()` must be a float, int, np.integer or np.floating, actual type: <class 'list'>[0m
  logger.warn(
[corr/qmix/hidden/s2] ep=100/3000  eps=0.97  recent_success=0.13  buf=13/4611 (0.28%)  elapsed=26s
[corr/qmix/hidden/s2] ep=200/3000  eps=0.94  recent_success=0.10  buf=23/9298 (0.25%)  elapsed=61s
[corr/qmix/hidden/s2] ep=300/3000  eps=0.91  recent_success=0.05  buf=28/14142 (0.20%)  elapsed=95s
[corr/qmix/hidden/s2] ep=400/3000  eps=0.88  recent_success=0.03  buf=31/19113 (0.16%)  elapsed=132s
[corr/qmix/hidden/s2] ep=500/3000  eps=0.85  recent_success=0.10  buf=41/23826 (0.17%)  elapsed=167s
[corr/qmix/hidden/s2] ep=600/3000  eps=0.83  recent_success=0.12  buf=53/28443 (0.19%)  elapsed=201s
[corr/qmix/hidden/s2] ep=700/3000  eps=0.80  recent_success=0.10  buf=63/33164 (0.19%)  elapsed=236s
[corr/qmix/hidden/s2] ep=800/3000  eps=0.77  recent_success=0.06  buf=69/37966 (0.18%)  elapsed=272s
[corr/qmix/hidden/s2] ep=900/3000  eps=0.74  recent_success=0.04  buf=73/42870 (0.17%)  elapsed=309s
[corr/qmix/hidden/s2] ep=1000/3000  eps=0.71  recent_success=0.05  buf=78/47772 (0.16%)  elapsed=345s
[corr/qmix/hidden/s2] ep=1100/3000  eps=0.68  recent_success=0.04  buf=82/50000 (0.16%)  elapsed=381s
[corr/qmix/hidden/s2] ep=1200/3000  eps=0.65  recent_success=0.05  buf=87/50000 (0.17%)  elapsed=418s
[corr/qmix/hidden/s2] ep=1300/3000  eps=0.62  recent_success=0.01  buf=88/50000 (0.18%)  elapsed=456s
[corr/qmix/hidden/s2] ep=1400/3000  eps=0.59  recent_success=0.00  buf=88/50000 (0.18%)  elapsed=493s
[corr/qmix/hidden/s2] ep=1500/3000  eps=0.56  recent_success=0.01  buf=89/50000 (0.18%)  elapsed=530s
[corr/qmix/hidden/s2] ep=1600/3000  eps=0.53  recent_success=0.00  buf=89/50000 (0.18%)  elapsed=567s
[corr/qmix/hidden/s2] ep=1700/3000  eps=0.50  recent_success=0.01  buf=90/50000 (0.18%)  elapsed=603s
[corr/qmix/hidden/s2] ep=1800/3000  eps=0.48  recent_success=0.03  buf=93/50000 (0.19%)  elapsed=640s
[corr/qmix/hidden/s2] ep=1900/3000  eps=0.45  recent_success=0.01  buf=94/50000 (0.19%)  elapsed=677s
[corr/qmix/hidden/s2] ep=2000/3000  eps=0.42  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=715s
[corr/qmix/hidden/s2] ep=2100/3000  eps=0.39  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=752s
[corr/qmix/hidden/s2] ep=2200/3000  eps=0.36  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=789s
[corr/qmix/hidden/s2] ep=2300/3000  eps=0.33  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=825s
[corr/qmix/hidden/s2] ep=2400/3000  eps=0.30  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=861s
[corr/qmix/hidden/s2] ep=2500/3000  eps=0.30  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=897s
[corr/qmix/hidden/s2] ep=2600/3000  eps=0.30  recent_success=0.00  buf=94/50000 (0.19%)  elapsed=933s
[corr/qmix/hidden/s2] ep=2700/3000  eps=0.30  recent_success=0.03  buf=97/50000 (0.19%)  elapsed=968s
[corr/qmix/hidden/s2] ep=2800/3000  eps=0.30  recent_success=0.00  buf=97/50000 (0.19%)  elapsed=1004s
[corr/qmix/hidden/s2] ep=2900/3000  eps=0.30  recent_success=0.00  buf=97/50000 (0.19%)  elapsed=1040s
[corr/qmix/hidden/s2] ep=3000/3000  eps=0.30  recent_success=0.00  buf=97/50000 (0.19%)  elapsed=1075s
DONE -> results/lbf_qmix_correlated_hidden_s2.npz
