# /home/jwozniak/MARL/.venv/bin/python3 -m smax.run --exploration correlated --similarity obs --mixer vdn --seed 1 --total-steps 2000000 --out results_smax/smax_2s3z_vdn_correlated_obs_s1.npz
2026-06-10 19:29:56.522994: W external/xla/xla/service/gpu/nvptx_compiler.cc:930] The NVIDIA driver's CUDA version is 12.7 which is older than the PTX compiler version 12.9.86. Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[run] cfg={'seed': 1, 'total_steps': 2000000, 'n_envs': 128, 'buffer_cap': 100000, 'batch_size': 128, 'warmup': 5000, 'updates_per_iter': 1, 'target_sync': 200, 'gamma': 0.99, 'lr': 0.0003, 'grad_clip': 10.0, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_anneal_steps': 100000, 'hidden_size': 128, 'exploration': 'correlated', 'similarity': 'obs', 'mixer': 'vdn', 'qmix_embed': 32, 'log_corr_every': 2000}
[cfg] n_agents=5  n_actions=10  obs_dim=127  state_dim=120  aug_dim=134
iter=  3600  env_steps=   460800  eps=0.050  episodes=  8301  recent_return=0.05  win=0.00  buf=100000
iter=  3800  env_steps=   486400  eps=0.050  episodes=  8744  recent_return=0.05  win=0.00  buf=100000
iter=  4000  env_steps=   512000  eps=0.050  episodes=  9170  recent_return=0.06  win=0.00  buf=100000
iter=  4200  env_steps=   537600  eps=0.050  episodes=  9600  recent_return=0.05  win=0.00  buf=100000
iter=  4400  env_steps=   563200  eps=0.050  episodes= 10018  recent_return=0.06  win=0.00  buf=100000
iter=  4600  env_steps=   588800  eps=0.050  episodes= 10422  recent_return=0.08  win=0.00  buf=100000
iter=  4800  env_steps=   614400  eps=0.050  episodes= 10836  recent_return=0.05  win=0.00  buf=100000
iter=  5000  env_steps=   640000  eps=0.050  episodes= 11237  recent_return=0.05  win=0.00  buf=100000
iter=  5200  env_steps=   665600  eps=0.050  episodes= 11640  recent_return=0.06  win=0.00  buf=100000
iter=  5400  env_steps=   691200  eps=0.050  episodes= 12065  recent_return=0.05  win=0.00  buf=100000
