# /home/jwozniak/MARL/.venv/bin/python3 -m smax.run --exploration correlated --similarity hidden --mixer vdn --seed 3 --total-steps 2000000 --out results_smax/smax_2s3z_vdn_correlated_hidden_s3.npz
2026-06-10 19:47:04.850902: W external/xla/xla/service/gpu/nvptx_compiler.cc:930] The NVIDIA driver's CUDA version is 12.7 which is older than the PTX compiler version 12.9.86. Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[run] cfg={'seed': 3, 'total_steps': 2000000, 'n_envs': 128, 'buffer_cap': 100000, 'batch_size': 128, 'warmup': 5000, 'updates_per_iter': 1, 'target_sync': 200, 'gamma': 0.99, 'lr': 0.0003, 'grad_clip': 10.0, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_anneal_steps': 100000, 'hidden_size': 128, 'exploration': 'correlated', 'similarity': 'hidden', 'mixer': 'vdn', 'qmix_embed': 32, 'log_corr_every': 2000}
[cfg] n_agents=5  n_actions=10  obs_dim=127  state_dim=120  aug_dim=134
iter= 10200  env_steps=  1305600  eps=0.050  episodes= 22253  recent_return=0.42  win=0.16  buf=100000
iter= 10400  env_steps=  1331200  eps=0.050  episodes= 22704  recent_return=0.40  win=0.15  buf=100000
iter= 10600  env_steps=  1356800  eps=0.050  episodes= 23165  recent_return=0.35  win=0.05  buf=100000
iter= 10800  env_steps=  1382400  eps=0.050  episodes= 23644  recent_return=0.32  win=0.03  buf=100000
iter= 11000  env_steps=  1408000  eps=0.050  episodes= 24144  recent_return=0.30  win=0.01  buf=100000
iter= 11200  env_steps=  1433600  eps=0.050  episodes= 24675  recent_return=0.27  win=0.01  buf=100000
iter= 11400  env_steps=  1459200  eps=0.050  episodes= 25183  recent_return=0.27  win=0.02  buf=100000
iter= 11600  env_steps=  1484800  eps=0.050  episodes= 25684  recent_return=0.37  win=0.21  buf=100000
iter= 11800  env_steps=  1510400  eps=0.050  episodes= 26145  recent_return=0.31  win=0.04  buf=100000
iter= 12000  env_steps=  1536000  eps=0.050  episodes= 26570  recent_return=0.35  win=0.11  buf=100000
iter= 12200  env_steps=  1561600  eps=0.050  episodes= 27050  recent_return=0.33  win=0.02  buf=100000
iter= 12400  env_steps=  1587200  eps=0.050  episodes= 27497  recent_return=0.35  win=0.07  buf=100000
