# /home/jwozniak/MARL/.venv/bin/python3 -m smax.run --exploration correlated --similarity q_values --mixer vdn --seed 3 --total-steps 2000000 --out results_smax/smax_2s3z_vdn_correlated_q_values_s3.npz
2026-06-10 19:46:54.168532: W external/xla/xla/service/gpu/nvptx_compiler.cc:930] The NVIDIA driver's CUDA version is 12.7 which is older than the PTX compiler version 12.9.86. Because the driver is older than the PTX compiler version, XLA is disabling parallel compilation, which may slow down compilation. You should update your NVIDIA driver or use the NVIDIA-provided CUDA forward compatibility packages.
[run] cfg={'seed': 3, 'total_steps': 2000000, 'n_envs': 128, 'buffer_cap': 100000, 'batch_size': 128, 'warmup': 5000, 'updates_per_iter': 1, 'target_sync': 200, 'gamma': 0.99, 'lr': 0.0003, 'grad_clip': 10.0, 'eps_start': 1.0, 'eps_end': 0.05, 'eps_anneal_steps': 100000, 'hidden_size': 128, 'exploration': 'correlated', 'similarity': 'q_values', 'mixer': 'vdn', 'qmix_embed': 32, 'log_corr_every': 2000}
[cfg] n_agents=5  n_actions=10  obs_dim=127  state_dim=120  aug_dim=134
iter=     0  env_steps=        0  eps=1.000  episodes=     0  recent_return=0.00  win=0.00  buf=128
iter=   200  env_steps=    25600  eps=0.757  episodes=   409  recent_return=0.23  win=0.01  buf=25728
iter=   400  env_steps=    51200  eps=0.514  episodes=   880  recent_return=0.28  win=0.01  buf=51328
iter=   600  env_steps=    76800  eps=0.270  episodes=  1333  recent_return=0.23  win=0.00  buf=76928
iter=   800  env_steps=   102400  eps=0.050  episodes=  1827  recent_return=0.09  win=0.00  buf=100000
iter=  1000  env_steps=   128000  eps=0.050  episodes=  2268  recent_return=0.05  win=0.00  buf=100000
iter=  1200  env_steps=   153600  eps=0.050  episodes=  2753  recent_return=0.05  win=0.00  buf=100000
iter=  1400  env_steps=   179200  eps=0.050  episodes=  3213  recent_return=0.03  win=0.00  buf=100000
iter=  1600  env_steps=   204800  eps=0.050  episodes=  3651  recent_return=0.05  win=0.00  buf=100000
iter=  1800  env_steps=   230400  eps=0.050  episodes=  4100  recent_return=0.04  win=0.00  buf=100000
iter=  2000  env_steps=   256000  eps=0.050  episodes=  4549  recent_return=0.04  win=0.00  buf=100000
iter=  2200  env_steps=   281600  eps=0.050  episodes=  4989  recent_return=0.03  win=0.00  buf=100000
iter=  2400  env_steps=   307200  eps=0.050  episodes=  5469  recent_return=0.03  win=0.00  buf=100000
iter=  2600  env_steps=   332800  eps=0.050  episodes=  5915  recent_return=0.04  win=0.00  buf=100000
iter=  2800  env_steps=   358400  eps=0.050  episodes=  6388  recent_return=0.04  win=0.00  buf=100000
iter=  3000  env_steps=   384000  eps=0.050  episodes=  6831  recent_return=0.05  win=0.00  buf=100000
iter=  3200  env_steps=   409600  eps=0.050  episodes=  7279  recent_return=0.05  win=0.00  buf=100000
iter=  3400  env_steps=   435200  eps=0.050  episodes=  7732  recent_return=0.05  win=0.00  buf=100000
iter=  3600  env_steps=   460800  eps=0.050  episodes=  8183  recent_return=0.04  win=0.00  buf=100000
iter=  3800  env_steps=   486400  eps=0.050  episodes=  8634  recent_return=0.06  win=0.00  buf=100000
iter=  4000  env_steps=   512000  eps=0.050  episodes=  9069  recent_return=0.05  win=0.00  buf=100000
iter=  4200  env_steps=   537600  eps=0.050  episodes=  9532  recent_return=0.04  win=0.00  buf=100000
iter=  4400  env_steps=   563200  eps=0.050  episodes=  9999  recent_return=0.06  win=0.00  buf=100000
iter=  4600  env_steps=   588800  eps=0.050  episodes= 10423  recent_return=0.06  win=0.00  buf=100000
iter=  4800  env_steps=   614400  eps=0.050  episodes= 10857  recent_return=0.06  win=0.00  buf=100000
iter=  5000  env_steps=   640000  eps=0.050  episodes= 11290  recent_return=0.06  win=0.00  buf=100000
iter=  5200  env_steps=   665600  eps=0.050  episodes= 11709  recent_return=0.06  win=0.00  buf=100000
